alpha,makespan,labor_cost
0.6,203.81659699126564,598301.6070713063
0.6,199.99742458603208,605088.1555662325
0.6,205.56757409414473,595236.9012121449
0.6,192.50774570892716,622364.7895817913
0.6,197.25711922059608,610575.5306445325
0.6,197.90419755071193,608897.9368221755
0.6,187.57726668008974,639033.9556358901
0.6,263.19029620676747,540831.9408442636
0.6,211.30889533759387,587498.6581221318
0.6,219.48911362501627,577333.9086201659
0.6,249.5822960875423,547721.9730300753
0.6,269.82741522275114,537940.7525723248
0.6,211.62406983794372,586835.296876925
0.6,245.69151129779965,550249.2622479404
0.6,202.19859499502235,600253.4156688054
0.6,194.75229670003836,616175.3894930293
0.6,192.0646528205387,624599.8787333538
0.6,258.19913091318193,543136.2953071911
0.6,194.3870255877899,616791.329195126
0.6,192.2278888787451,623712.835457559
0.6,209.6246710813882,590492.0652363102
0.6,265.49904653606603,539665.4210721658
0.6,209.77461147634054,589695.8776407486
0.6,211.10650116900982,588155.1302711974
0.6,202.8109561752541,599410.599446564
0.6,195.03256410726686,615073.8530648048
0.6,255.0890666766532,544643.1015755679
0.6,190.20844460831754,630533.8317470045
0.6,210.75095849844303,588568.3326915634
0.6,198.7770103951458,607161.0634475071
0.6,217.29231904556872,579418.9007251498
0.6,192.14715778152882,623888.637120763
0.6,247.86427532655657,548892.3058656065
0.6,193.65965363205848,619440.153801264
0.6,205.93823089746067,594385.7783563018
0.6,191.80693664750783,624635.5038875327
0.6,222.327463854285,573048.6882437598
0.6,233.1210968683529,561452.042154847
0.6,251.80677252356176,546312.4812620396
0.6,246.1184412450201,550024.9224674231
0.6,245.29288431086448,550790.6381932828
0.6,196.2689319799238,611441.4564305246
0.6,269.94202422288026,537843.4540267652
0.6,234.92010258671394,560215.4234648788
0.6,245.4459332522421,550742.5934986973
0.6,195.27653228267155,614674.2102673694
0.6,256.34857825187333,544123.106921517
0.6,188.78592066866153,633868.0975334134
0.6,188.85991523599407,633015.8597971087
0.6,257.87513677762166,543464.1800189798
0.6,200.00048916045245,604509.0378889443
0.6,249.4185705737677,548124.8454627396
0.6,262.29110266277456,541322.1726671108
0.6,216.63345112496975,580722.6965265139
0.6,262.76173293364604,540920.9332835332
0.6,256.74575703141375,544095.9518131944
0.6,247.96592866645116,548733.1330057518
0.6,222.71580653580165,572779.2048932542
0.6,272.7872654044631,536916.3837010276
0.6,248.5775468435397,548638.8269468568
0.6,263.68730994027874,540825.8875124382
0.6,194.3546954826037,617682.5836624184
0.6,217.7988060810082,579339.8844839432
0.6,235.2494058276915,559684.5125080188
0.6,237.95675791743656,557536.6535706462
0.6,193.93214691394232,619387.0661582997
0.6,192.91828950368037,621195.2159230597
0.6,239.9278799716897,555348.9811506508
0.6,211.6898657108797,586771.9796901974
0.6,275.8150573091322,536070.9920015795
0.6,230.26696837070548,564833.2218793666
0.6,215.875269450959,581470.8539300533
0.6,194.35970418974696,616853.150517564
0.6,212.22243396659186,586623.6860158341
0.6,268.414463542998,538471.2842298767
0.6,187.15123997734773,643052.3375786766
0.6,235.6656826458125,559440.6041610267
