beta,makespan,labor_cost
0.3,207.37115989267605,568573.4055987454
0.3,201.06127322899562,593248.2736974313
0.3,219.5659442274781,551631.1193752404
0.3,212.6353831111647,558158.8418417566
0.3,196.37057054948295,617845.3667576136
0.3,231.0082911443446,543254.1296945191
0.3,207.40668620210482,568348.5331582488
0.3,205.77917155059714,574584.9698093131
0.3,195.6621281122841,621466.8948535463
0.3,206.8895811853547,570323.3284624303
0.3,203.03755698453395,585558.0203505892
0.3,200.17514911375622,597142.1393212973
0.3,203.38690023327334,583494.0134836112
0.3,198.34588427318715,606161.0015121808
0.3,205.80171341937424,574452.1344479544
0.3,205.7120396145149,574701.9886856251
0.3,203.8869899750601,581452.2611495727
0.3,200.37903113653513,596382.3646126727
0.3,206.43570088518607,572169.644006032
0.3,202.70821325705873,586273.6858756493
0.3,207.25911119942555,569105.7226828439
0.3,204.62164940143347,578937.2541898607
0.3,196.8848262216798,614188.0705056321
0.3,227.66957150758856,545263.2845186468
0.3,212.76071591095632,558070.1074204935
0.3,207.32554018273933,568950.7098899054
0.3,204.57935525440308,578973.6946207613
0.3,205.94107421409294,574266.146247088
0.3,206.4706770540841,571911.7953535521
0.3,208.41376552051153,565358.54890646
0.3,201.84041206124817,590257.1226689231
0.3,228.0312084155161,544957.4233163293
0.3,212.71492681684384,558113.2517933396
0.3,199.62388423856825,599598.3448658199
0.3,203.31303589152645,583863.6607177439
0.3,195.38529307860136,625583.096211642
0.3,199.00627394322927,602767.1750828819
0.3,197.97400820501556,607921.9016060848
0.3,200.72446651454356,594658.2567227867
0.3,228.15405248344032,544902.192377975
0.3,196.1595639417513,618554.8373954578
0.3,196.05158939917607,619530.657965914
0.3,202.1123164721691,588806.5138306359
0.3,200.08314271334504,597707.2306557356
0.3,200.51296701500172,595628.9172530479
0.3,201.86794833269533,590090.5989841192
0.3,208.95140220377456,564354.0318212832
0.3,198.63854989796903,604754.6039481377
0.3,206.5535375327918,571586.8006223245
0.3,226.24069380132153,546393.1041997958
0.3,202.6446537077989,586656.8335544934
0.3,199.2790120202688,601235.5809583901
0.3,200.40336383998462,595856.8078764365
0.3,203.04621303697164,585254.2055973987
0.3,196.95577360456056,613626.237253008
0.3,200.80114805202405,594413.9079968322
0.3,206.4055022039667,572251.1414634425
0.3,200.68181037866825,594884.9318918345
0.3,220.6963678562818,550143.9699746361
0.3,223.97797565925035,547583.050399888
0.3,220.8678650978859,550028.0719007766
0.3,206.14327749585016,573125.1894821384
