beta,makespan,labor_cost,total_cost
0.6,270.64461348739286,512465.8877809184,512465.8877809184
0.6,271.018731828396,512177.34524727263,512177.34524727263
0.6,223.99895650881533,569007.5492929423,569007.5492929423
0.6,259.37861241925924,520162.72318311187,520162.72318311187
0.6,230.69816811605435,553906.5151100426,553906.5151100426
0.6,250.18289242967487,529983.4659366054,529983.4659366054
0.6,247.15828407162638,533017.2561958116,533017.2561958116
0.6,227.55524289345308,559409.9445161966,559409.9445161966
0.6,258.9296803629568,520716.0808973496,520716.0808973496
0.6,234.16797672429226,549017.8009051401,549017.8009051401
0.6,245.29480915183126,535193.181802082,535193.181802082
0.6,255.7927726588682,523946.0188888786,523946.0188888786
0.6,229.78699655939346,555064.5531145055,555064.5531145055
0.6,260.95702201433016,518713.01459118864,518713.01459118864
0.6,250.49758768661323,529623.3772651111,529623.3772651111
0.6,244.6330575262009,535843.8550967006,535843.8550967006
0.6,246.0993192032164,534401.205916647,534401.205916647
0.6,257.46137785290955,522240.1593574396,522240.1593574396
0.6,290.9544119969354,504667.27841427625,504667.27841427625
0.6,241.78221802063646,539135.7400549692,539135.7400549692
0.6,226.56720752168363,561825.5402446145,561825.5402446145
0.6,247.74467508530066,532454.2410182909,532454.2410182909
0.6,255.63889485126936,524022.2398356147,524022.2398356147
0.6,259.95650168334123,519611.1589115501,519611.1589115501
0.6,257.35989377326695,522356.7375331633,522356.7375331633
0.6,275.2779661426125,509723.03343752795,509723.03343752795
0.6,292.0158354008939,504383.54132845055,504383.54132845055
0.6,238.4067610967595,543777.2398431678,543777.2398431678
0.6,230.10397642150252,554527.1463327754,554527.1463327754
0.6,237.58148252707514,544560.9436327734,544560.9436327734
0.6,236.58277238679068,546008.3104227365,546008.3104227365
0.6,243.36080883992008,537328.4576503986,537328.4576503986
0.6,292.54778054934235,504158.5272128719,504158.5272128719
0.6,233.6662813663803,549526.8591398476,549526.8591398476
0.6,252.55225237988108,527225.1606715705,527225.1606715705
0.6,274.7624297016909,510099.2736476454,510099.2736476454
0.6,261.5191251377708,518148.32973769406,518148.32973769406
0.6,226.26847152640744,562350.4037060023,562350.4037060023
0.6,248.64565071714026,531644.001918662,531644.001918662
0.6,228.3719270746002,557363.3828364303,557363.3828364303
0.6,248.1632962074472,532292.8427604483,532292.8427604483
0.6,271.018731828396,512177.34524727263,512177.34524727263
0.6,239.35825030117,542315.567484353,542315.567484353
0.6,233.2586950300669,550026.1360444978,550026.1360444978
0.6,287.52604340223104,505537.8057467918,505537.8057467918
0.6,256.75060311300683,522898.2861242132,522898.2861242132
0.6,226.0945499103492,562580.3024301839,562580.3024301839
0.6,288.6842985931828,505208.7241314505,505208.7241314505
0.6,277.97020647857727,508404.16948011855,508404.16948011855
0.6,249.57711473774566,530619.5991627628,530619.5991627628
0.6,232.53148029566415,551271.7952092629,551271.7952092629
0.6,247.9817417608138,532355.65838264,532355.65838264
0.6,255.36292541586855,524380.3354250597,524380.3354250597
0.6,266.98120338436615,514361.62511493557,514361.62511493557
0.6,226.51824515823486,562201.1655834112,562201.1655834112
0.6,271.6508842667027,511792.31687715754,511792.31687715754
0.6,236.20859070351676,546346.7971303666,546346.7971303666
0.6,274.7624297016909,510099.2736476454,510099.2736476454
0.6,263.0993988816039,517263.7637022936,517263.7637022936
0.6,250.94201561093033,529015.8336033532,529015.8336033532
0.6,248.93157786201843,531328.1479260093,531328.1479260093
0.6,240.16369465677155,541236.3532159636,541236.3532159636
0.6,226.61881812042046,561738.9699789137,561738.9699789137
0.6,231.4627666491531,552477.7487790289,552477.7487790289
0.6,250.94201561093033,529015.8336033532,529015.8336033532
0.6,240.16369465677155,541236.3532159636,541236.3532159636
0.6,235.83009160061522,546693.6343745864,546693.6343745864
0.6,253.46098942321308,526123.8983527259,526123.8983527259
0.6,263.19865116198304,517228.031095239,517228.031095239
0.6,244.92344385853698,535490.0386574706,535490.0386574706
0.6,246.57487139915057,533605.2393058223,533605.2393058223
0.6,234.59964334629328,548367.0220134257,548367.0220134257
