alpha,makespan,labor_cost,total_cost
0.3,289.01111094305406,522180.094126686,522180.094126686
0.3,273.338076762379,541174.0488257299,541174.0488257299
0.3,260.20692582502784,561413.4431619161,561413.4431619161
0.3,285.1745053144054,526492.0857362341,526492.0857362341
0.3,308.27150641330155,509486.6611068223,509486.6611068223
0.3,286.57764885827424,525201.2338076707,525201.2338076707
0.3,300.1410575894889,513912.6067755258,513912.6067755258
0.3,245.44198711886747,598435.9710242331,598435.9710242331
0.3,256.91936319354147,567372.079262224,567372.079262224
0.3,263.76939946217857,556111.4495603062,556111.4495603062
0.3,288.4401232109784,522665.7006437339,522665.7006437339
0.3,261.0945306343695,560174.531900703,560174.531900703
0.3,284.24237096595886,527522.9171171,527522.9171171
0.3,244.39440770039474,601444.1641866004,601444.1641866004
0.3,289.08022537494224,521974.2945746178,521974.2945746178
0.3,246.95265759331238,592396.2345825697,592396.2345825697
0.3,290.8321717450695,520257.6203917698,520257.6203917698
0.3,265.9660797306617,552515.37343065,552515.37343065
